ResponsibleDepartment,Reason,Notes
Fulfillment DLY,Label Issue,L/D OR DUPE OR TX VOIDED
Fulfillment DLY,Label Issue,L/D OR DUPE OR TX VOIDED
Fulfillment DLY,Label Issue,L/D OR DUPE OR TX VOIDED
Fulfillment DLY,Label Issue,L/D OR DUPE OR TX VOIDED
Fulfillment DLY,Label Issue,L/D OR DUPE OR TX VOIDED
Fulfillment DLY,Label Issue,L/D OR DUPE OR TX VOIDED
Fulfillment DLY,Label Issue,L/D OR DUPE OR TX VOIDED
Fulfillment DLY,Label Issue,L/D OR DUPE OR TX VOIDED
Fulfillment DLY,Label Issue,L/D OR DUPE OR TX VOIDED
Fulfillment DLY,Label Issue,L/D OR DUPE OR TX VOIDED
Fulfillment DLY,Label Issue,L/D OR DUPE OR TX VOIDED
Fulfillment DLY,Label Issue,L/D OR DUPE OR TX VOIDED
Fulfillment DLY,Label Issue,L/D OR DUPE OR TX VOIDED
Fulfillment DLY,Label Issue,L/D OR DUPE OR TX VOIDED
Fulfillment DLY,Label Issue,L/D OR DUPE OR TX VOIDED
Fulfillment DLY,Label Issue,L/D OR DUPE OR TX VOIDED
Data Entry,Triage - Missed D/C,"
"
Data Entry,Document Error,"NOT ASSOCIATED AND NOT PA DOC, ITS FOR WORKERS COMP CLAIM "
Data Entry,Document Not Associated,"NOT ASSOCIATED AND NOT PA DOC, ITS FOR WORKERS COMP CLAIM "
Billing,Billing Error,PA DONE IN COVER MY MEDS DAY SUPPLY IS WRONG
Data Entry,Billing Error,"NO PA STARTED "
Data Entry,Document Error,"NOT ALF PT , ITS SNF"
Data Entry,Document Error,"NOT PA DOC , ITS WORKERS COM BILLING APPROVAL NOTICE "
Data Entry,Invalid payor / code (TEST),"The ""Missing Med"" price plan was left in the primary insurance field. Pt.'s real insurance must be in this field so that it doesn't go out for free every time cycle fill is ran."
Data Entry,Invalid payor / code (TEST),"The ""Missing Med"" price plan was left in the primary insurance field. A legitimate insurance plan must be in this field so that it doesn't go out for free every time cycle fill is ran."
Data Entry,Billing Error,"NO PA SENT "
Billing,Billing Error,NO PA START
Billing,Billing Error,ROYM receives P5 pricing on OTC's. OTC was billed as Extended Care.
Billing,Billing Error,TER receives P5 pricing on OTC's. OTC was billed as Extended Care.
Data Entry,Date Written,USED TODAY'S DATE
Data Entry,Quantity,sent rf req wo qty
Cycle Fill,Procedure (FF),fl not in rph
Cycle Fill,Procedure (FF),fl not in rph
Cycle Fill,Procedure (FF),fl not in rph
Cycle Fill,Procedure (FF),fl not in rph
Data Entry,Missed Order,doc completed before rph
Data Entry,Document Not Associated,control order missing stamps
Data Entry,Tickler,"doc in tick 9/5, processed 9/6"
Data Entry,SIG/MULTI-SIG/DIRECTIONS,fl in multisig on rfcf
Data Entry,SIG/MULTI-SIG/DIRECTIONS,"dorz/tim sig 1gtt, entered 2gtt"
Data Entry,HOA,hoa blank on loperamide
Data Entry,SIG/MULTI-SIG/DIRECTIONS,start date on sertraline
Cycle Fill,Procedure (FF),fl not in rph
Cycle Fill,Procedure (FF),fl not in rph
Cycle Fill,Procedure (FF),fl not in rph
Cycle Fill,Procedure (FF),fl not in rph
Cycle Fill,Procedure (FF),fl not in rph
Cycle Fill,Drug/Strength (FF),"12hr cap, filled 24hr cap"
Data Entry,Date Written,USED TODAY'S DATE
Data Entry,SIG/MULTI-SIG/DIRECTIONS,MISSED ACTUAL STRENGTH (12.5MCG) FOR 1/2 TAB RX
Billing,Billing Error,tech did not add a matrix
Data Entry,Doctor/MDO (Order),"WRONG MDO PROFILE "
Data Entry Misc,Drug,"DAW 1 SELECTED FOR GENERIC PRODUCT "
Data Entry,HOA/FREQUENCY/FILL LIST,"USED WRONG HOA/FREQ ORDER WAS PRINTED ON MAR NOT TAR "
Billing,Document Error,"Wrong pa format , this plan gets paper form, several emails have gone out."
Data Entry,HOA/FREQUENCY/FILL LIST,"DIDN'T PUT ""X"" IN FREQ LANCETS PRINTING ON MARS "
Data Entry,Document Error,"MULTIPLE PT STAPLED TOGETHER
"
Data Entry,SIG/MULTI-SIG/DIRECTIONS,"
"
Data Entry,Wrong Batch,"SUNVIEW GOES ON THE ENS RUN, NOT THE 445"
Data Entry,Wrong Batch,"SUNVIEW GOES ON THE ENS RUN, NOT THE 445"
Billing,Billing Error,"THERE IS NO REQUIRED ADDRESS ON THE PAYMENT DOCUMENT. "
Data Entry,Wrong Batch,"SUNVIEW GOES ON THE ENS RUN, NOT THE 445"
Data Entry,Wrong Batch,"SUNVIEW GOES ON THE ENS RUN, NOT THE 445"
Data Entry,Wrong Batch,"SUNVIEW GOES ON THE ENS RUN, NOT THE 445"
Data Entry,Wrong Batch,"SUNVIEW GOES ON THE ENS RUN, NOT THE 445"
Data Entry,Wrong Batch,"BH ZONE BATCHED 445 AT 4:38PM.  NO CALL TO DAILIES, NO DOC IN Q"
Data Entry,Wrong Batch,"BH ZONE BATCHED 445 AT 4:38PM.  NO CALL TO DAILIES, NO DOC IN Q"
Data Entry,Wrong Batch,"BH ZONE BATCHED 445 AT 4:38PM.  NO CALL TO DAILIES, NO DOC IN Q"
Data Entry,Wrong Batch,"BH ZONE BATCHED 445 AT 4:38PM.  NO CALL TO DAILIES, NO DOC IN Q"
Data Entry,Wrong Batch,REFILL BATCHED 4:45 WHEN IT WAS PROCESSED AT 4:45.
Fulfillment CF,Patient (FF),mixed pts
Fulfillment CF,Patient (FF),mixed pts
Fulfillment CF,Extra/Missing Pill(s),jumper
Fulfillment CF,Extra/Missing Pill(s),jumper
Fulfillment CF,Extra/Missing Pill(s),jumper
Fulfillment SYNMED,Label Issue,no drug description
Fulfillment SYNMED,Label Issue,no drug description
Fulfillment CF,Extra/Missing Pill(s),jumper
Fulfillment CF,Quantity,dupe fill
Fulfillment CF,Label Issue,quantity wrong for split sig
Fulfillment CF,Extra/Missing Pill(s),jumper
Data Entry,Strength,"
"
Data Entry,Missed Order,"
"
Data Entry,Missed Order,DOC COMPLETED
Data Entry,Missed Order,DOC COMPLETED
Data Entry,Strength,DRUG FORM
Data Entry,SIG/MULTI-SIG/DIRECTIONS,DAY SUPPLY
Data Entry,Quantity,REFILLS
Cycle Fill,Drug/Strength (FF),DRUG
Cycle Fill,Drug/Strength (FF),STRENGTH
Cycle Fill,Extra/Missing Pill(s),ADDITIONAL ERROR
Cycle Fill,Label Issue,WRONG TIME STICKER
Cycle Fill,Label Issue,WRONG TIME STICKER
Cycle Fill,Label Issue,WRONG TIME STICKER
Cycle Fill,Label Issue,WRONG TIME STICKER
Cycle Fill,Drug/Strength (FF),STRENGTH AND FORM
Data Entry,Wrong Batch,BRIDGE BATCHED STAT. NO DOCUMENTATION.
Data Entry,Wrong Batch,BRIDGE BATCHED STAT. NO DOCUMENTATION.
Data Entry,Wrong Batch,BRIDGE BATCHED STAT. NO DOCUMENTATION.
Fulfillment DLY,Label Issue,wrong color bin for batch on label
Data Entry,Wrong Batch,WE DON'T GO TO CASA GRAND ON THE 645 WEEKEND
Data Entry,Wrong Batch,ZONES DON'T GO 645 WITHOUT A YT BATCH
Data Entry,Wrong Batch,ZONES DON'T GO 645 WITHOUT A  YT BATCH
Fulfillment DLY,Packaging,SHOULD BE 2/BUBBLE
Data Entry Misc,Document Error,DOC IN DAILY FILL Q BATCHED FOR 5:45AM.  NO NOTES OR DOCUMENTATION.  IT TURNED OUT TO BE A STAT
Fulfillment CHG,Label Issue,wrong color bin for label on batch
Data Entry,Wrong Batch,ZN BATCHED 645-NOT A YT
Data Entry,Wrong Batch,ZN REFILL BATCHED 645
Fulfillment DLY,Label Issue,tx voided/ label dispens/ dupe fill
Fulfillment DLY,Label Issue,tx voided/ label dispens/ dupe fill
Fulfillment DLY,Label Issue,tx voided/ label dispens/ dupe fill
Fulfillment DLY,Label Issue,tx voided/ label dispens/ dupe fill
Fulfillment DLY,Label Issue,tx voided/ label dispens/ dupe fill
Fulfillment DLY,Label Issue,tx voided/ label dispens/ dupe fill
Fulfillment DLY,Label Issue,tx voided/ label dispens/ dupe fill
Fulfillment DLY,Label Issue,tx voided/ label dispens/ dupe fill
Fulfillment DLY,Label Issue,tx voided/ label dispens/ dupe fill
Fulfillment DLY,Label Issue,tx voided/ label dispens/ dupe fill
Fulfillment DLY,Label Issue,tx voided/ label dispens/ dupe fill
Fulfillment DLY,Label Issue,tx voided/ label dispens/ dupe fill
Fulfillment DLY,Label Issue,tx voided/ label dispens/ dupe fill
Fulfillment DLY,Label Issue,tx voided/ label dispens/ dupe fill
Fulfillment DLY,Label Issue,tx voided/ label dispens/ dupe fill
Fulfillment DLY,Label Issue,tx voided/ label dispens/ dupe fill
Fulfillment DLY,Label Issue,tx voided/ label dispens/ dupe fill
Fulfillment DLY,Label Issue,tx voided/ label dispens/ dupe fill
Fulfillment DLY,Label Issue,tx voided/ label dispens/ dupe fill
Billing,Billing Error,CTAL receives P5 pricing on OTC's.  OTC was billed as Extended Care.
Billing,Billing Error,VP receives P5 pricing on OTC's.  OTC was billed as Extended Care.
Billing,Billing Error,CTAL receives P5 pricing on OTC's.  OTC was billed as Extended Care.
Billing,Billing Error,CTAL receives P5 pricing on OTC's.  OTC was billed as Extended Care.
Data Entry,Billing Error,SSL receives P5 pricing on OTC's.  OTC was billed as Extended Care.
Billing,Billing Error,FVHC receives P5 pricing on OTC's.  OTC was billed as Extended Care.
Data Entry,Billing Error,CTAL receives P5 pricing on OTC's.  OTC was billed as Extended Care.
Billing,Billing Error,PQB receives P5 pricing on OTC's.  OTC was billed as Extended Care.
Data Entry,Billing Error,"SSL receives P5 pricing on OTC's.  
OTC was billed as Extended Care."
Fulfillment,Extra/Missing Pill(s),"2ND CARD, BUB 7 MISSING 1 TAB"
Data Entry,Date Written,WRONG DATE ON VIT C
Fulfillment,Packaging,"WPC NOT PACKAGED CORRECTLY, HAD TO WASTE 2 CARDS TO FIX, FIRST SHOULD BE TUES START, BUT STARTED SUN"
Data Entry,Other,"PT WAS PROFILE ONLY, TECH PROCESSED EVERYTHING TO FILL. "
Billing,Billing Error,"CC PMT DOCUMENT DOES NOT HAVE REQUIRED EXP AND SEC, AS WELL AS NO NUMBER TO CONTACT PERSON WHO MADE PMT TO OBTAIN INFO NEEDED. "
Billing,Document Error,"CC PMT DOCUMENT DOES NOT HAVE REQUIRED EXP AND SEC, AS WELL AS NO NUMBER TO CONTACT PERSON WHO MADE PMT TO OBTAIN INFO NEEDED. "
Data Entry,Back Screen/Days Supply,COMPOUND BACK SCREEN
Pharmacist,Back Screen/Days Supply,COMPOUND BACK SCREEN
Data Entry,Invalid payor / code (TEST),"The ""Missing Med"" price plan was left in the primary insurance field.  If left in this spot, this OTC could go out for free every time that cycle fill is ran if not changed back to the patient's legitimate insurance plan."
Data Entry,Invalid payor / code (TEST),"The ""Missing Med"" price plan was left in the primary insurance field.  If left in this spot, this OTC could go out for free every time that cycle fill is ran if not changed back to the patient's legitimate insurance plan."
Data Entry,Invalid payor / code (TEST),"The ""Missing Med"" price plan was left in the primary insurance field.  If left in this spot, this OTC could go out for free every time that cycle fill is ran if not changed back to the patient's legitimate insurance plan."
Data Entry,Invalid payor / code (TEST),"The ""Missing Med"" price plan was left in the primary insurance field.  If left in this spot, this OTC could go out for free every time that cycle fill is ran if not changed back to the patient's legitimate insurance plan."
Data Entry,HOA/FREQUENCY/FILL LIST,"ALL CRM'S FOR HOME GO ON TREATMENT SHEET FREQ=T "
Data Entry Misc,Other,"DAW 1 WAS USED FOR A GENERIC "
Data Entry,HOA/FREQUENCY/FILL LIST,"ALL CRM'S FOR HOME GO ON TREATMENT SHEET "
Data Entry,HOA/FREQUENCY/FILL LIST,"ALL CRM'S FOR HOME GO ON TREATMENT SHEET "
Data Entry,HOA/FREQUENCY/FILL LIST,ALL CRM'S FOR HOME GO ON TREATMENT SHEET FREQ=T
Data Entry,HOA/FREQUENCY/FILL LIST,"ALL CRM'S FOR AZPH GO ON TREATMENT SHEET FREQ=T "
Data Entry,HOA/FREQUENCY/FILL LIST,"ALL CRM'S , ONIT, TOPICAL FOR AZPH GO ON TREATMENT SHEET FREQ=T "
Billing,Billing Error,TER receives P5 pricing on OTC's.  OTC was billed as Extended Care.
Billing,Billing Error,SSL receives P5 pricing on OTC's.  OTC was billed as Extended Care.
Billing,Billing Error,TECH LVM WITH POA BUT NO NOTES IN OUTCOMES TO KNOW WHO SPOKE WITH POA
Cycle Fill,Label Issue,torn label
Cycle Fill,Drug/Strength (FF),"caps, filled tabs"
Cycle Fill,Quantity,"sig half, filled 1"
Data Entry,Document Not Associated,c stamps
Data Entry,Document Not Associated,c stamps
Data Entry,Document Not Associated,c stamps
Data Entry,Document Not Associated,c stamps
Data Entry,Document Not Associated,c stamps
Data Entry,Document Not Associated,c stamps
Data Entry,Document Not Associated,c stamps
Cycle Fill,Procedure (FF),fl not in rph
Billing,Billing Error,PKLM does not receive P5 pricing.
Cycle Fill,Procedure (FF),fl not in rph
Cycle Fill,Procedure (FF),fill list not in rph
Data Entry,Billing Error,House Stock does not receive Saliba's Discount pricing.
Billing,Billing Error,PAYMENT FORM DID NOT HAVE ZIP CODE REQUIRED TO PROCESS PMTS
Billing,Billing Error,"PAYMENT FORM DOES NOT HAVE REQUIRE ZIP CODE TO PROCESS PAYMENT. NO CALL BACK NUMBER TO CONTACT CARD HOLDER FOR INFO. "
Data Entry,HOA/FREQUENCY/FILL LIST,"
"
Data Entry,Billing Error,"LOADED INCORRECT INS, SHOULD CALL # TO GET PROCESSING INFO"
Pharmacist,Other,MISSING TAB
Data Entry,Document Error,AFTER PATIENT WAS DISCHARGED COPY NOT MADE FOR BILLING TO REVIEW CF CHARGES BILLED 8/12 DC'D 8/20 PT PASSED 7/24
Pharmacist,Other,VIT B 100 HAD WRONG DRUG IMAGE
Data Entry,SIG/MULTI-SIG/DIRECTIONS,"
"
Data Entry,Doctor/MDO (Order),"WRONG MDO PROFILE , FAX, PHONE ADDRESS "
Data Entry,Date Written,"
"
Data Entry,SIG/MULTI-SIG/DIRECTIONS,"
"
Data Entry,Procedure,"NOT RFCF FROM ER. DOC COMPLETED "
Billing,Billing Error,"NO NOTES IN OUTCOMES, TECH CALLED SVHA TO GET POA INFO, HAD A RETURNED CALL FROM SVHA AND I TOOK THE CALL AND NO NOTES"
Data Entry,Date Written,"ONLY MISTAKE ON A HUGE NEW ADMIT, MISSED WRITTEN DATE.  "
Billing,Matrix Error,"KAL did a DC/READMIT/TRANS from MCDA to FVHC, and did not adjust the billing matrix to reflect the changes.  All of her meds were billed to the FVHC price plan, but the charge account was left as the patient's."
Data Entry,Invalid payor / code (TEST),"The ""Missing Med"" price plan was left in the primary insurance field.  If left, this OTC will go out for free every time that cycle fill is billed."
Data Entry,Invalid payor / code (TEST),"The ""Missing Med"" price plan was left in the primary insurance field.  If left, cycle fill would go out for free each time that it is ran."
Data Entry,Doctor/MDO (Order),"WRONG MDO PROFILE , NOT IN QS1"
Data Entry,Invalid payor / code (TEST),"The ""Missing Med"" price plan was left in the primary insurance field. "
Data Entry,Invalid payor / code (TEST),"The ""Missing Med"" price plan was left in the primary insurance field.  If left here, this would go out for free every time that cycle fill is ran."
Data Entry,Invalid payor / code (TEST),"The ""Missing Med"" price plan was left in the primary insurance field.  If left here, this would go out for free every time that the cycle fill is ran."
Data Entry,Invalid payor / code (TEST),"The ""Missing Med"" price plan was left in the primary insurance field.  If left here, this med will go out for free every time that the cycle fill is ran."
Billing,Matrix Error,"The insurance profile for UHC was not set up correctly.  The ""Other Coverage"" field is to be left blank. Also, UHC PLAN AHCCCS is to be all on a line of its own in the billing matrix field. This was found all on one line in the billing matrix screen."
Data Entry,Billing Error,BGAL receives P5 pricing on OTC's.  OTC was billed as Extended Care.
Billing,Billing Error,EPV receives P5 pricing on OTC's.  OTC was billed as Extended Care.
Billing,Matrix Error,"The ""Billing Info"" screen for UHC PLAN AHCCCS was not set up correctly.  UHC is supposed to be on a line all on its own in order to work."
Fulfillment,Extra/Missing Pill(s),MISSING #9
Data Entry Phone Team,Document Error,"FORM IS MISSING , DOB AND INS, # AND ID #"
Fulfillment,Extra/Missing Pill(s),"3 TABS TID, ONE BUB WITH 2 TABS"
Fulfillment,Label Issue,morning sticker on bedtime med
Cycle Fill,Extra/Missing Pill(s),packed 84 instead of 87 for tid med for PA
Data Entry,Back Screen/Days Supply,"
"
Fulfillment CF,Procedure (FF),DIDN'T MOVE STAT DOC TO COMPLETE
Fulfillment DLY,Label Issue,CUT AND PASTE 2 PT LABELS TOGETHER
Fulfillment DLY,Label Issue,"MISSED STAT BATCH. "
Fulfillment DLY,Label Issue,WRONG COLOR BIN FOR BATCH ON LABEL
Fulfillment DLY,Label Issue,WRONG COLOR BIN FOR BATCH ON LABEL
Data Entry,Wrong Batch,TUGLAND DOESN'T GO 645 WITHOUT A YT.
Data Entry,Document Error,"STAT BATCH BUT NO DOCUMENT IN FILL Q, PHONE CALL OR DOCUMENTATION"
Fulfillment DLY,Procedure (FF),NEW CONTROL RX - NO HC WITH IT
Fulfillment DLY,Procedure (FF),"C2 PARTIAL FILL, NO BACK STAMP"
Fulfillment DLY,Label Issue,WRONG BIN COLOR FOR LABEL BATCH
Fulfillment DLY,Label Issue,WRONG COLOR BIN FOR LABEL ON BATCH
Data Entry,Triage - Missed D/C,"
"
Data Entry Misc,Wrong Batch,ATP DOESN'T GO 145 WEEKENDS
Data Entry,Wrong Batch,GARNET IS OUT OF TOWN AND DOES NOT GO 145 WEEKENDS
Data Entry,Wrong Batch,PASEO ONLY GOES 545AM.
Fulfillment DLY,Label Issue,WRONG COLOR BIN FOR BATCH ON LABEL
Fulfillment DLY,Packaging,Z-PAC DONE IN 2 CARDS LIKE BID
Data Entry,Wrong Batch,ZONES DON'T GO 645 UNLESS YT
Data Entry,Wrong Batch,ZONES DON'T GO 645 UNLESS YT
Data Entry,Wrong Batch,ZONES DON'T GO 645 UNLESS YT
Data Entry Misc,Wrong Batch,PQ ONLY GOES 545 AM
Data Entry,Wrong Batch,LFRA IS A PRESCOTT HOME AND DOESN'T GET THE 645 RUN
Fulfillment DLY,Label Issue,WRONG COLOR BIN FOR BATCH ON LABEL
Data Entry Misc,Wrong Batch,STAT DOC - MED NOT BATCHED STAT
Data Entry,Wrong Batch,ZONES DON'T GO 645 UNLESS YT
Data Entry,Refills missed/wrong,"
"
Data Entry,Triage - Doc Type,"
"
Data Entry,Billing Error,House Stock does not get Brookdale Cash pricing.  This price plan is only for Brookdale patients.
Billing,Billing Error,"TER receives P5 pricing on OTC's.  OTC was billed as Extended Care pricing. "
Data Entry,Document Error,"NOT PA DOC, THIS IS AUTH FOR WORKER COMP CLAIMS, NEED TO GO TO TRIAGE "
Data Entry,Quantity,"missed refill "
Fulfillment,Procedure (FF),MISSED NOTE ON OVERBILLED UP TO CYCLE
Data Entry,Diagnosis,"
"
Fulfillment CF,Extra/Missing Pill(s),jumper
Fulfillment CF,Extra/Missing Pill(s),jumper
Fulfillment CF,Drug/Strength (FF),extra 1 tab of diff drug - synmed
Data Entry Misc,Charge Account,"The facility's price plan was billed, but the charge account was left as the patient's.  We must change the charge account to the facility's if we are billing them.  If not, the patient will receive the bill instead of the facility."
Data Entry Misc,Charge Account,"The facility's price plan was billed, but the charge account was left as the patient's.  The charge account needs to be changed to the facility's so that Sunview gets the bill, and not the patient."
Billing,Charge Account,KAL & AVM sent a doc to billing.  KAL should have checked to make sure that the charge account was changed to the facility's.  The patient's charge account was billed.
Data Entry,Document Error,"NO PA DOC, THIS IS CLAIMS AUTH FOR WORKER COMP MED "
Data Entry,Billing Error,EPV receives P5 pricing on OTC's.  OTC was billed as Extended Care.
Pharmacist,Charge Account,"The facility's price plan was billed, but the charge account was left as the patient's.  If not changed, the patient will receive the billing statement instead of the home."
Data Entry,Refills missed/wrong,DIDN'T ADD REFILLS FROM ORIGINAL DOC
Data Entry,Rx Origin,"
"
Data Entry,Date Written,USED TODAY'S DATE
Data Entry,SIG/MULTI-SIG/DIRECTIONS,ENTERED 4 DROPS INSTEAD OF 5
Data Entry,Date Written,USED TODAY'S DATE
Data Entry,SIG/MULTI-SIG/DIRECTIONS,MISSING DAILY
Data Entry,Invalid payor / code (TEST),"The ""Missing Med"" price plan was left in the primary insurance field.  When cycle fill was ran on 9/21, this caused the claim to bill for free as well. This would keep happening if not changed back to the patient's real insurance plan."
Billing,Matrix Error,"The insurance profile, and billing matrix screens were not set up correctly for UHC Plan AHCCCS. In the insurance screen, Medicare D's ID # needs to be in the ""Other ID:"" field, and ""99 - Other"" needs to be in the ""Other Payer ID Qualifier:"" field.  Also, the ""Other Coverage:"" field to be left blank.  In the billing matrix screen, UHC is to be active on one line all on its own.  It is not it be on the same line as MED D /DUAL."
Billing,Matrix Error,The billing matrix screen for UHC was not set up correctly.  I found it will two active lines in the matrix.  UHC is only to be active on a line item all on its own.
Data Entry,Invalid payor / code (TEST),"The ""Missing Med"" price plan was left in the primary insurance field. If left here. this would bill for free every time that the cycle fill is ran. This is why it is important to change the price plan back to the patient's real insurance plan."
Data Entry,Invalid payor / code (TEST),"The ""Missing Med"" price plan was left in the primary insurance field.  If left like this, it would cause the claim to bill for free every time cycle fill is ran. This would keep happening if not changed back to the patient's real insurance plan."
Data Entry,Invalid payor / code (TEST),"The ""Missing Med"" price plan was left in the primary insurance field.  If left like this, it would cause the claim to bill for free every time cycle fill is ran. This would keep happening if not changed back to the patient's real insurance plan."
Data Entry,Billing Error,PQB receives P5 pricing on OTC's.  OTC was billed as Extended Care.
Data Entry,Document Error,"NOT PA DOC THIS IS WOERKS COMP AUTH NOT PA "
Data Entry,Document Error,"NOT PA DOC "
Data Entry,Billing Error,"MED WAS JUST FILLED 9/22 FOR FULL 30 DAYS, TECH FILLED AGAIN TODAY AND IT REJECTED DUE TO RTS"
Data Entry,Patient,"INCORRECT DOB, ENTERED 3/13/43"
Data Entry,Date Written,USED TODAY'S DATE ON SPIRIVA
Data Entry,Triage,BATCH
Billing,Matrix Error,"The billing matrix screen for UHC was not set up correctly.  UHC was found active on two lines in the matrix screen.  UHC should only be active once, and it should be active on a line all on its own."
Data Entry,Billing Error,"LF 09/10 "
Billing,Matrix Error,UHC was active on the MED D /DUAL line in the billing matrix screen.  UHC is supposed to be active on a line item all on its own.
Data Entry,Doctor/MDO (Order),"WRONG MDO PROFILE "
Data Entry,Triage,2 PTS STAPLED
Fulfillment CF,Packaging,EZ VIALS WAS NOT DONE.
Data Entry,Triage,DUP ORDER ON FILE ALREADY
Data Entry,Triage,DUP ORDER ON FILE ALREADY
Data Entry,Triage,DUP ORDER ON FILE ALREADY
Data Entry,Triage,DUP ORDER ON FILE ALREADY
Data Entry,Triage,DUP ORDER ON FILE ALREADY
Data Entry,Triage,DUP ORDER ON FILE ALREADY
Data Entry,Triage,DUP ORDER ON FILE ALREADY
Data Entry,Triage,DUP ORDER ON FILE ALREADY
Data Entry,Triage,DUP ORDER ON FILE ALREADY
Data Entry,Triage,DUP ORDER ON FILE ALREADY
Fulfillment,Label Issue,HOA
Cycle Fill,Label Issue,CLASSIC LABEL SWAP
Cycle Fill,Drug/Strength (FF),FORM
Fulfillment,Label Issue,CLASSIC TIME STICKER SWAP
Fulfillment,Label Issue,CLASSIC LABEL SWAP
Fulfillment,Procedure (FF),DUT FILL LIST
Fulfillment,Extra/Missing Pill(s),FILLED IN FATTY CARD WITH 2 IN A ONE OF THE BUBBLES
Fulfillment,Packaging,FILLED IN FATTY CARD WITH 2 IN A ONE OF THE BUBBLES
Data Entry,Strength,FORM
Data Entry,Doctor/MDO (Order),WRONG PRESCRIBER
Data Entry,Doctor/MDO (Order),WRONG PRESCRIBER
Data Entry,Strength,STRENGTH
Fulfillment,Procedure (FF),COMPLETED DOC INSTEAD OF RPH REVIEW
Fulfillment,Drug/Strength (FF),STRENGTH
Cycle Fill,Extra/Missing Pill(s),-1
Cycle Fill,Procedure (FF),am dose in 7am wpc
Cycle Fill,Quantity,missed order
Cycle Fill,Quantity,missed order
Fulfillment CF,Other,jumper
Fulfillment CF,Other,jumper
Cycle Fill,Procedure (FF),FILL LIST
Cycle Fill,Procedure (FF),FILL LIST
Data Entry,Billing Error,"LF 09/17 FOR 30 DAYS "
Data Entry,Invalid payor / code (TEST),"The ""Missing Med"" price plan was left in the primary insurance field, causing the 9/23 cycle fill to bill for free.  The primary insurance field is to be updated to the patient's actual insurance plan after the Missing Med price plan is billed."
Data Entry,Invalid payor / code (TEST),"The ""MISSING MED"" price plan was left in the primary insurance field. If left, cycle fill could go out for free every time that is is ran.  It is important to change back to the patient's legitimate insurance plan after billing the Missing Med price plan. "
Data Entry,Doctor/MDO (Order),"WRONG MDO PROFILE SELECTED "
Data Entry,Invalid payor / code (TEST),"The ""Missing Med"" price plan was left in the primary insurance field.  If the price plan was not changed back to the patient's insurance plan, the cycle fill would bill for free every time this facility is ran.  "
Data Entry,Invalid payor / code (TEST),"The ""Missing Med"" price plan was left in the primary insurance field.  If the price plan was not changed back to the patient's insurance plan, the cycle fill would bill for free every time this facility is ran.  "
Data Entry,Invalid payor / code (TEST),"The ""Missing Med"" price plan was left in the primary insurance field.  If the price plan was not changed back to the patient's insurance plan, the cycle fill would bill for free every time this facility is ran.  "
Data Entry,Invalid payor / code (TEST),"The ""Missing Med"" price plan was left in the primary insurance field.  If the price plan was not changed back to the patient's insurance plan, the cycle fill would bill for free every time this facility is ran.  "
Billing,Billing Error,ROYS receives P5 pricing on OTC's.  OTC was billed as Extended Care.
Pharmacist,Document Error,DELIVERY EXCEPTION
Billing,Billing Error,"DID NOT PUT NOTE IN QS1 FOR MMF "
Cycle Fill,Quantity,DAILYS
Data Entry,HOA/FREQUENCY/FILL LIST,"
"
Data Entry,Other,"FILL, NOT PROFILE"
Data Entry,Other,PROFILE
Cycle Fill,Label Issue,CLASSIC LABEL SWAP
Cycle Fill,Label Issue,NO TIME STICKER
Data Entry,Missed Order,PREMATURELY COMPLETED DOCUMENT
Data Entry,Quantity," RUN FOR #2 LOZENGES"
Data Entry Phone Team,Wrong Batch,REFILL REQUEST MISS-BATCHED AS STAT
Data Entry Phone Team,Wrong Batch,REFILL MISS-BATCHED AS STAT
Data Entry,Wrong Batch,ZONES DON'T GO ON THE 645 WITHOUT A YT BATCH
Fulfillment DLY,Label Issue,WRONG COLOR BIN FOR BATCH ON LABEL
Fulfillment DLY,Label Issue,WRONG COLOR  - ZONES DON'T GO 645 WITHOUT A YT LABEL
Data Entry,Wrong Batch,TUNGLAND DOESN'T GO WEEKENDS WITHOUT A YT
Cycle Fill,Procedure (FF),FL NOT IN RPH
Cycle Fill,Procedure (FF),FL NOT IN RPH
Cycle Fill,Procedure (FF),FL NOT IN RPH
Cycle Fill,Procedure (FF),FL NOT IN RPH
Cycle Fill,Quantity,SIG 2 FILLED 1
Data Entry,Wrong Batch,WE DONT GO TO PRESCOT ON THE 145
Cycle Fill,Drug/Strength (FF),TAB/CAP
Cycle Fill,Extra/Missing Pill(s),+1
Fulfillment DLY,Label Issue,MISSED YT DOC OR FORGOT YT
Data Entry,Document Not Associated,PROCEDURE - DOC COMPLETED BEFORE RPH
Fulfillment DLY,Procedure (FF),NO BACKSTAMP ON A SNF PARTIAL C2
Data Entry,Wrong Batch,ATP ONLY GOES 545 ON SUNDAYS
Data Entry,Strength,LIQ ENTERED AS TAB
Data Entry,Wrong Batch,ATP ONLY GOES 545AM ON THE WEEKENDA
Data Entry,Wrong Batch,ZONES ONLY GO 545 OR 145 ON THE WEEKEND WITHOUT A YT BATCH
Data Entry,Wrong Batch,ZONES DON'T GO AS LATE AS 645 ON THE WEEKENDS
Data Entry,Wrong Batch,ZONES DON'T GO 645 ON THE WEEKEND
Data Entry,Wrong Batch,ZONES DON'T GO 645 ON THE WEEKEND
